# Star   JD           PD[%]   sPD  EPVA[deg] sEVPA     q       sq        u       su
Mark_0          2460507.29208     1.79   0.25   66.97    4.08 -0.01240  0.00255  0.01287  0.00249
Mark_0          2460507.29241     1.84   0.26   66.80    4.07 -0.01270  0.00263  0.01334  0.00256
Mark_0          2460507.29273     1.87   0.26   69.72    4.02 -0.01417  0.00262  0.01213  0.00255
Mark_0          2460507.29306     2.18   0.24   64.63    3.17 -0.01377  0.00244  0.01685  0.00237
Mark_0          2460507.29338     1.75   0.24   60.22    3.92 -0.00885  0.00242  0.01507  0.00234
Mark_0          2460507.29370     2.14   0.24   63.79    3.19 -0.01308  0.00241  0.01699  0.00235
Mark_0          2460507.29403     1.38   0.23   57.19    4.93 -0.00571  0.00241  0.01259  0.00232
Mark_0          2460507.29435     1.76   0.24   64.98    3.93 -0.01132  0.00243  0.01351  0.00237
Mark_0          2460507.29471     2.17   0.24   68.19    3.20 -0.01574  0.00245  0.01500  0.00238
Mark_0          2460507.29503     1.60   0.24   67.44    4.36 -0.01131  0.00245  0.01136  0.00236
Mark_1          2460508.28108     1.12   0.17   66.02    4.47 -0.00750  0.00173  0.00831  0.00171
Mark_1          2460508.28139     1.19   0.17   66.79    4.22 -0.00823  0.00175  0.00865  0.00172
Mark_1          2460508.28170     1.03   0.17   61.68    4.85 -0.00566  0.00173  0.00860  0.00170
Mark_1          2460508.28201     1.21   0.17   68.02    4.20 -0.00868  0.00176  0.00837  0.00172
Mark_1          2460508.28233     0.92   0.17   65.31    5.43 -0.00601  0.00172  0.00701  0.00170
Mark_1          2460508.28264     1.08   0.17   65.50    4.57 -0.00711  0.00172  0.00818  0.00168
Mark_1          2460508.28295     0.84   0.17   72.29    5.90 -0.00688  0.00170  0.00489  0.00167
Mark_1          2460508.28326     1.16   0.17   67.42    4.24 -0.00815  0.00170  0.00820  0.00167
Mark_1          2460508.28358     1.36   0.17   65.68    3.57 -0.00902  0.00171  0.01024  0.00167
Mark_3          2460426.43605     0.20   0.23   -4.15   61.44  0.00196  0.00229 -0.00029  0.00221
Mark_3          2460426.43630     0.51   0.24   43.67   15.31  0.00024  0.00243  0.00513  0.00235
Mark_3          2460426.43654     0.59   0.23   87.56   12.82 -0.00586  0.00234  0.00050  0.00224
Mark_3          2460426.43678     0.80   0.24   78.62    8.97 -0.00739  0.00237  0.00310  0.00229
Mark_3          2460426.43703     0.64   0.24   75.97   11.67 -0.00569  0.00239  0.00303  0.00233
Mark_3          2460426.43727     0.93   0.23   55.03    7.29 -0.00319  0.00233  0.00874  0.00226
Mark_3          2460426.43751     0.48   0.22   35.40   15.69  0.00158  0.00228  0.00453  0.00223
Mark_3          2460426.43775     0.41   0.23  -71.11   19.63 -0.00325  0.00228 -0.00252  0.00221
Mark_4          2460426.43885     1.17   0.33   71.39    8.56 -0.00933  0.00335  0.00709  0.00322
Mark_4          2460426.43918     0.33   0.30  -59.06   61.44 -0.00155  0.00305 -0.00290  0.00301
